hotel;logo;
Mandapa A Ritz-Carlton Reserve - Indonesia - 283882;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/283882_logo.png;
Conrad Seoul - South Korea - 144263;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/144263_logo.png;
Banyan Tree Club and Spa Seoul - South Korea - 18431;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/18431_logo.png;
Grand InterContinental Seoul Parnas - South Korea - 13872;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/13872_logo.png;
Park Hyatt Seoul - South Korea - 65185;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/65185_logo.png;
Signiel Seoul - South Korea - 313274;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/313274_logo.png;
Capella Singapore  - Singapore - 15279;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/15279_logo.png;
St Regis Singapore - Singapore - 81121;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/81121_logo.png;
The Peninsula Tokyo - Japan - 77429;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/77429_logo.png;
The Mulia - Nusa Dua  Bali - Indonesia - 3847;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/3847_logo.png;
Four Seasons Jimbaran Bay Bali - Indonesia - 33434;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/33434_logo.png;
Armani Hotel Dubai - United Arab Emirates - 117453;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/117453_logo.png;
Al Maha Desert Resort and Spa Dubai - United Arab Emirates - 53804;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/53804_logo.png;
The Upper House Hotel Preferred LEGEND Collection - Hong Kong - 111923;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/111923_logo.png;
Palace Hotel San Francisco - United States - 639;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/639_logo.png;
Four Seasons San Francisco - United States - 54454;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/54454_logo.png;
The Ritz-Carlton San Francisco - United States - 25032;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/25032_logo.png;
Hotel Granduca Austin - United States - 284215;https://itp-suitetreat-jpg.s3.amazonaws.com/logo/284215_logo.png;
